Country,Region,Happiness Rank 2015,Happiness Score 2015,Standard Error,Economy (GDP per Capita) 2015,Family 2015,Health (Life Expectancy) 2015,Freedom 2015,Trust (Government Corruption) 2015,Generosity 2015,Dystopia Residual 2015,Year 2015,Happiness Rank 2016,Happiness Score 2016,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita) 2016,Family 2016,Health (Life Expectancy) 2016,Freedom 2016,Trust (Government Corruption) 2016,Generosity 2016,Dystopia Residual 2016,Year 2016,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Year
Peru,Latin America and Caribbean,58.0,5.824,0.04615,0.9001899999999999,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,2015.0,64.0,5.742999999999999,5.647,5.839,0.99602,0.81255,0.6299399999999999,0.3750199999999999,0.05292,0.14527,2.73117,2016.0,63.0,5.71500015258789,5.81194677859545,5.61805352658033,1.03522527217865,1.21877038478851,0.6301661133766171,0.4500028789043429,0.126819714903831,0.047049086540937,2.20726943016052,2017.0
Belarus,Central and Eastern Europe,59.0,5.813,0.03938,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.1104599999999999,2.1309,2015.0,61.0,5.8020000000000005,5.723,5.881,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942,2.3858200000000003,2016.0,67.0,5.5689997673034695,5.64611424401402,5.49188529059291,1.15655755996704,1.4449452161788898,0.6377142667770389,0.295400261878967,0.15513750910759,0.156313821673393,1.72323298454285,2017.0
Poland,Central and Eastern Europe,60.0,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,2015.0,57.0,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016.0,46.0,5.97300004959106,6.05390834122896,5.892091757953169,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.059307806193829,1.7977228164672898,2017.0
Malaysia,Southeastern Asia,61.0,5.77,0.0433,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.1050099999999999,0.33075,1.88541,2015.0,47.0,6.005,5.921,6.089,1.25142,0.88025,0.62366,0.39031,0.09081,0.4147399999999999,2.35384,2016.0,42.0,6.08400011062622,6.179979636520151,5.988020584732291,1.29121541976929,1.28464603424072,0.618784427642822,0.4022649824619289,0.416608929634094,0.065600708127022,2.00444889068604,2017.0
Croatia,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.0544399999999999,2.75414,2015.0,74.0,5.488,5.402,5.574,1.18649,0.6080899999999999,0.70524,0.2390699999999999,0.04002,0.18434,2.52462,2016.0,77.0,5.2930002212524405,5.391777204573151,5.19422323793173,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.043103110045195,1.85449242591858,2017.0
Libya,Middle East and Northern Africa,63.0,5.754,0.07832,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.09066,2015.0,67.0,5.615,5.406000000000001,5.824,1.0668799999999998,0.95076,0.52304,0.4067199999999999,0.10339,0.17087,2.39374,2016.0,68.0,5.525000095367429,5.67695380687714,5.373046383857731,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.1520736664533619,0.092610210180283,1.8350112438201895,2017.0
Russia,Central and Eastern Europe,64.0,5.716,0.03135,1.13764,1.23617,0.6692600000000001,0.36679,0.03005,0.00199,2.27394,2015.0,56.0,5.856,5.789,5.922999999999999,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016.0,49.0,5.962999820709231,6.03027490749955,5.89572473391891,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.05226382240653,0.032962881028652,2.20560741424561,2017.0
Jamaica,Latin America and Caribbean,65.0,5.709,0.13693,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,2015.0,73.0,5.51,5.315,5.705,0.89333,0.96372,0.5946899999999999,0.4359699999999999,0.04294,0.22245,2.35682,2016.0,76.0,5.31099987030029,5.581398728489879,5.04060101211071,0.925579309463501,1.3682180643081698,0.6410223841667181,0.474307239055634,0.233818337321281,0.055267781019211,1.61232566833496,2017.0
North Cyprus,Western Europe,66.0,5.695,0.05635,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,2015.0,62.0,5.771,5.67,5.872000000000001,1.31141,0.81826,0.8414200000000001,0.43596,0.1657799999999999,0.26322,1.93447,2016.0,61.0,5.80999994277954,5.89736646488309,5.722633420675991,1.3469113111496,1.18630337715149,0.834647238254547,0.4712036252021789,0.266845703125,0.155353352427483,1.54915761947632,2017.0
Cyprus,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.4067199999999999,0.06146,0.30638,1.88931,2015.0,69.0,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.0522799999999999,0.27906,2.04497,2016.0,65.0,5.62099981307983,5.714692699313161,5.527306926846499,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.041237976402044,1.62124919891357,2017.0
